Line no. 	 Token no. 		 Token 						 Lexeme

      1		       0		 Preprocessor directive	       #include <stdio.h>
      3		       1		 Keyword					     int
      3		       2		 Identifier					    main
      3		       3		 Seperator			       (
      3		       4		 Seperator			       )
      3		       5		 Seperator			       {
      4		       6		 Keyword					     int
      4		       7		 Identifier					       x
      4		       8		 Operator		       =
      4		       9		 Number		 				     42
      4		      10		 Seperator			       ;
      5		      11		 Identifier					  printf
      5		      12		 Seperator			       (
      5		      13		 Argument				       "Hello, world!"
      5		      14		 Seperator			       )
      5		      15		 Seperator			       ;
      6		      16		 Keyword					  return
      6		      17		 Number		 				      0
      6		      18		 Seperator			       ;
      7		      19		 Seperator			       }
